               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10095,            0.033902,                   0,             0.59559,             0.68301,             0.60335,             0.21224,            0.057458,            0.019537,                   0,            0.070667,           0.0032593,           0.0032593
                   1,            0.071243,            0.026825,                   0,             0.61397,             0.72464,             0.72812,             0.37947,            0.056427,            0.013223,                   0,            0.040536,           0.0064621,           0.0064621
                   2,            0.065486,            0.022586,                   0,             0.41669,             0.68841,             0.50058,             0.15994,            0.060852,            0.011965,                   0,            0.010274,           0.0095329,           0.0095329
                   3,            0.062977,            0.020588,                   0,             0.57752,             0.82216,             0.65755,             0.29138,            0.050521,           0.0096776,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.053749,            0.018045,                   0,             0.85544,              0.7029,             0.84279,             0.34032,            0.047993,           0.0078362,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.047796,            0.016853,                   0,              0.6523,             0.82609,             0.69635,             0.41561,            0.037646,           0.0071313,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.042593,            0.014943,                   0,             0.95035,             0.97082,             0.97526,              0.6469,            0.029673,           0.0062586,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.037031,            0.013737,                   0,             0.71508,             0.86232,             0.85132,             0.62149,            0.034509,           0.0062155,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.036254,            0.013599,                   0,             0.96343,             0.95465,             0.97588,             0.73487,             0.02493,            0.006159,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.033834,            0.014363,                   0,             0.95122,             0.98906,             0.99261,             0.74424,            0.021842,           0.0055836,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.030876,            0.012177,                   0,             0.95759,             0.98175,             0.99252,             0.76608,            0.021239,            0.005511,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.029189,            0.012021,                   0,             0.96533,             0.98551,             0.99066,             0.79074,            0.023195,           0.0053389,                   0,             0.00802,             0.00802,             0.00802
